Sentence,Polarity,Subjectivity
textSent,0.0,0.0
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
Stop comparing COVID vaccines to the Holocaust  Stop comparing CovidPassports to the yellow star  Stop comparing COVID passports to Jim Crow segregation practices  Knock this shit off  Your ignorance or manipulation of history is pissing me off ,-0.1,0.4
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
Only in Australia covid sahealth meme https t coFT6DLtRVze,0.0,1.0
Blue Sea Glitter Mermaid Fish Scales Pattern Premium Face Mask  https t coe9fotp9Q7Q mermaids fantasy glitter glam covid facemasks covid19 coronavirus socialdistancing,0.0,0.1
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
This is the story shared with permission of a patient in her 40s with COVID we just intubated  If ongov provided essential workers with better protection  she would be at home with her family  https t coKfjFJPZYeu,0.25,0.4
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
Fuck this  Going motorcycling this weekend  Fuck staying home  fuck truedope  fuck covid  fuck no vaccines in canadaria  fuck OntarioMockdown ,-0.39999999999999997,0.6
We used this portable heartlung machine as salvage therapy in a younger patients whose lungs had been damaged by COVID  Until ongov provides essential workers with PaidSickDays  workplace protection amp  access to vaccinations  this machine will continue to be used  https t coJuAgPhFm8N,0.0,0.15
