score,username,cap
0.8,jmcloutier,0.62
0.6,infrahumano,0.5
0.7,SkoczSteven,0.57
0.6,frontline_RN,0.52
3.5,linddaaal,0.79
4.1,MGDezigns,0.81
0.4,DFisman,0.41
0.8,Shel988,0.62
0.2,DoyleLeilani,0.27
1.8,dlomore,0.78
1.1,bluetrees14,0.71
0.4,DonnerHeidi,0.41
0.0,JGouldNS,0.0
1.4,Brandi56501624,0.77
4.1,TheTraceC,0.81
1.6,KWCoachTerry,0.77
3.6,JJHutts,0.79
1.6,HomelessQuatchi,0.78
3.4,LeonardoZ,0.79
1.8,Vorisskan,0.78
2.4,wcbs880,0.79
2.2,dwatchnews_mena,0.79
1.3,cake,0.75
1.2,UnderhillS13,0.74
0.6,wagscgo,0.5
3.2,Maura2e2_,0.79
0.4,FredBoness,0.41
3.8,Fuxit2,0.8
0.4,M_3927,0.39
1.4,JGatawe,0.76
0.7,coppercanyonfun,0.57
0.0,clwilander,0.0
4.8,Liveinvenice,0.92
1.0,OhforFarkssake,0.7
1.4,RichardKing633,0.77
4.1,MGDezigns,0.81
0.2,SansariMed,0.27
0.0,winzylamb,0.22
3.4,BorealJo,0.79
4.3,dailyummahint,0.83
1.4,sforseth000,0.76
0.1,BeysBaeee,0.25
4.3,mohamed981226,0.83
0.6,monsieurmean,0.5
0.0,anna_dobie,0.22
3.7,AmericanVolador,0.8
0.4,fdtruks,0.41
0.8,davidennis2,0.62
3.4,GadflyQuebec,0.79
0.3,Tayzlor,0.36
0.4,kieldaho,0.39
0.6,PAC_Ski53,0.5
1.1,RyanDeWilde,0.71
0.3,jossjaffe,0.36
1.2,DiPettaSonia,0.73
1.4,SaveInsectsA,0.76
4.1,nextwomanuppod,0.82
1.0,voilamsgraham,0.7
0.2,biancansd,0.3
0.4,beisan,0.41
