,0
#COVID,21.0
#PaidSickDays,10.0
#COVID.,10.0
#covid,7.0
#Covid,5.0
#COVID-19,3.0
#COVID19,2.0
#Lockdown,1.0
#ForThePeople,1.0
#vaccine.,1.0
#SanDiegans,1.0
#StaySafe,1.0
#SpongeBobSquarepants,1.0
#Spongebob,1.0
#pandemic,1.0
#canadaria,1.0
#truedope,1.0
#clownworld.#okcoofer,1.0
#California,1.0
#corona,1.0
#usa,1.0
#CovidPassports,1.0
#covid19,1.0
#biden,1.0
#coof,1.0
#meme,1.0
#sahealth,1.0
#masquerade,1.0
#880InDepth,1.0
#abhealth,1.0
#bcpoli,1.0
#vaccines,1.0
#Coronavirus,1.0
#Covid_19,1.0
#Iran:,1.0
#Philly,1.0
#tech,1.0
#apps,1.0
#technology,1.0
#Quesnel,1.0
#cariboopoli,1.0
#COVID19BC,1.0
#walking,1.0
#CaribooRD,1.0
#WilliamsLake,1.0
#cdnpoli,1.0
#COVID19Canada,1.0
#WellsBC,1.0
#100MileHouse,1.0
#outside,1.0
#COVID-life,1.0
#hiking,1.0
#Backpacking,1.0
#OntarioMockdown.,1.0
